id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
658673742922208233,Super cosy apartment with garden!,2902353,Anne,,Noord-Oost,52.3931,4.95048,Entire home/apt,166,3,6,2022-11-27,1.23,1,44,6,0363 EE82 60B2 DC1F FBA8
658679269548675593,Sunny penthouse apartment in creative North,8410658,Ludwig,,Oud-Noord,52.39515,4.90348,Entire home/apt,225,15,2,2022-09-11,0.65,1,248,2,0363 5041 9A66 CB1C 70EF
658710005757118069,Spacious Amsterdam home / garden / kitchen bar,39231243,Carlos,,Oostelijk Havengebied - Indische Buurt,52.36042,4.94283,Entire home/apt,299,1,3,2022-09-25,0.97,2,2,3,0363 2BB9 75C1 1897 1830
651110081840270594,Charmant privé appartement aan het water,55560358,Marthe,,De Pijp - Rivierenbuurt,52.34776,4.9032,Entire home/apt,208,1,11,2022-10-30,2.12,1,0,11,0363 BE79 3E03 2B79 B969
651257738336801912,"Spacious, luxury appartment with balcony and bath",36275648,Timo,,Slotervaart,52.35268,4.83834,Entire home/apt,300,2,5,2022-10-16,0.92,1,125,5,0363 A72F 7592 6E25 3C00
633913568632069213,Spacious typical A'dam style house with terrace,401798659,Jade,,Zuid,52.35284,4.848208,Entire home/apt,220,4,3,2022-07-30,0.63,1,0,3,0363 040A BDF3 A8AD 507A
651899123459009528,Amazing Private studio 2 min from central station,449825081,Dario,,Centrum-West,52.37636,4.89695,Entire home/apt,150,2,4,2022-08-22,0.86,2,158,4,ABCD1234AB1289EFA0F9
651925005286643330,"Formula 1 Playseats: 100m2 Apt, A’dam-west, 2bdr.",451839909,Justin,,Slotervaart,52.34859,4.83315,Entire home/apt,469,4,0,,,1,0,0,0363 611D 24E3 63D1 0334
652492381733245185,Comfortabel appartement met tuin in rustige buurt.,34928474,Jim,,De Baarsjes - Oud-West,52.372831276450924,4.856206346795985,Entire home/apt,190,2,2,2022-11-27,2,1,0,2,0363 B36A D0FA 3CDF FDDF
652590086987060959,Cute city apt close to ferry with balcony!,464973907,Sophia,,Oud-Noord,52.38272,4.91434,Entire home/apt,163,2,7,2022-10-23,3.00,1,0,7,0363D1659764DBC8BFC1
652609797838455611,Spacious lovely house in Amsterdam,13353119,Harmen,,Watergraafsmeer,52.35067,4.9385,Entire home/apt,195,2,1,2022-08-19,0.28,1,34,1,
658712442038757836,beautiful renovated apartment for 2 in Amsterdam,249390073,Anoek En Thimo,,De Pijp - Rivierenbuurt,52.34684,4.90692,Entire home/apt,230,5,5,2022-09-22,1.06,1,24,5,0363 BBC0 FB28 F869 BBE4
658747157119121773,Beautiful loft with free parking and large terrace,16286936,Amrit,,Bos en Lommer,52.38484,4.85425,Entire home/apt,248,2,3,2022-11-28,2.43,1,190,3,0363 F30E 993B A235 D321
659141842477060387,6E - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34702,4.90981,Private room,117,1,6,2022-11-02,1.32,15,316,6,0363 78AD 8875 790E 3C05
659142377494090020,8E - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34769,4.91071,Private room,114,1,0,,,15,323,0,0363 78AD 8875 790E 3C05
659151646329419738,4D - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34839,4.91139,Private room,87,1,4,2022-11-04,0.98,15,320,4,0363 78AD 8875 790E 3C05
652619213793727403,Central luxury canal view. Whole appartement,74646936,Judy,,Centrum-West,52.37330935102894,4.897819608449936,Entire home/apt,400,3,9,2022-11-11,1.65,1,84,9,0363BFFDAF679EFDD23F
652669699499168719,Woonschip Cornelis,437005049,Helma,,Oostelijk Havengebied - Indische Buurt,52.37410879999999,4.940876299999999,Entire home/apt,275,2,7,2022-09-18,1.63,1,0,7,0363 75EE D4DD 038A E293
652671537269481026,cosy & stylish city apt with roof terrace!,464991121,Melisse,,De Baarsjes - Oud-West,52.36814,4.8655,Entire home/apt,192,2,4,2022-09-19,0.79,1,0,4,03631740EE233DB32EED
659152081757704200,8 B - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34822,4.91007,Private room,124,1,3,2022-09-09,0.88,15,302,3,0363 78AD 8875 790E 3C05
659152547163247876,8C - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34808,4.91069,Private room,95,1,2,2022-08-14,0.45,15,265,2,0363 78AD 8875 790E 3C05
633981715600855011,Lovely 2-bedroom garden flat for couples/families,5748724,Nathalie,,De Pijp - Rivierenbuurt,52.34735,4.90965,Entire home/apt,199,2,8,2022-10-23,2.00,1,2,8,0363 7E07 2780 02C2 BD44
659154815042625820,8 D - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34693,4.90983,Private room,147,1,1,2022-09-01,0.31,15,272,1,0363 78AD 8875 790E 3C05
659155409426615865,6F - Private apt 85m2 - fully equipped - roof terr,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34829,4.9099,Private room,214,7,7,2022-10-30,1.96,15,295,7,0363 78AD 8875 790E 3C05
652767804151967005,"Fantastic houseboat, 160m2 on Amstel river",377918907,Nelke,,Watergraafsmeer,52.34440155552212,4.914071596820051,Entire home/apt,350,2,3,2022-09-04,0.76,1,5,3,0363 95C8 DEBE 50A2 F614
659156923985848276,6D - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34693,4.90971,Private room,95,1,2,2022-09-11,0.62,15,312,2,0363 78AD 8875 790E 3C05
633992329859944866,"Great appartement in Amsterdam,perfect for family",18857065,Anne- Marijn,,Watergraafsmeer,52.3518,4.94658,Entire home/apt,150,3,1,2022-10-29,0.79,1,103,1,0363 B2FF 19AD EEE8 D871
659157967557452249,6B - Private apt 38m2 - fully equipped,364305280,Arnold,,De Pijp - Rivierenbuurt,52.34643,4.90925,Private room,89,1,3,2022-10-30,0.68,15,316,3,0363 78AD 8875 790E 3C05
659223111507286010,Beautiful boho apartment with garden & 2 balconies,26588608,Crissy,,Slotervaart,52.3648989,4.8381122,Entire home/apt,183,1,4,2022-10-02,0.94,1,6,4,036331D1FBB599D8252A
659273083479610772,Charming 1-bedroom condo in the heart of the city,324873771,Melis,,De Pijp - Rivierenbuurt,52.3431091,4.9074099,Entire home/apt,294,2,2,2022-10-01,0.70,1,105,2,0363 8863 A9F6 C3D3 8AAC
652799039926597473,Apartment with a beautiful view,25422214,John,,Centrum-Oost,52.36378,4.90933,Private room,239,1,12,2022-08-23,2.42,3,8,12,0363 B7F4 7717 816A 00AD
653286493435979356,Cozy apartment in central location,59348798,Nino,,Westerpark,52.38232685700601,4.871132634580135,Entire home/apt,140,5,2,2022-11-17,0.47,1,0,2,0363 09D1 87A8 FFC5 F2E8
653289821990142870,Lovely comfortable  apartment in the city centre,1863731,Sjoerdje,,Centrum-Oost,52.36626,4.90823,Entire home/apt,180,28,3,2022-08-17,0.64,1,90,3,0363 AEE5 FD1A 2B90 833B
653299720189848502,"Lovely two-level apartment, in the Old Pijp area",77544654,Marijn,,De Pijp - Rivierenbuurt,52.35638,4.88776,Entire home/apt,350,2,1,2022-10-30,0.81,1,6,1,0363 B100 01AB E8AB 9B6C
634037702311900712,Lovely 1-bedroom loft in centre of Amsterdam,345326420,Ela,,Westerpark,52.38413,4.87861,Entire home/apt,350,1,5,2022-10-23,0.92,1,218,5,0363 B875 C1AC 3C6A 00E7
653326414871985697,Design Canal Apartment,24938319,Agnes,,De Baarsjes - Oud-West,52.36797,4.85891,Entire home/apt,350,4,2,2022-10-16,0.65,1,57,2,0363 A928 6371 FAFB C66A
